prov_ubi;cant_ubi;parr_ubi;area_ubi;clase;tipo;entidad;sector;dotmedic;dismedic;dotcirug;discirug;dotginob;disginob;dotped;disped;dotneon;disneon;dotcardi;discardi;dotneumo;disneumo;dotpsiqu;dispsiqu;dottraum;distraum;dotinfec;disinfec;dotofta;disofta;dotootorri;disootorri;doturolo;disurolo;dotgast;disgast;dotquem;disquem;dotneuro;disneuro;dotnefro;disnefro;dotonco;disonco;dothema;dishema;dototrse;disotrse;dotserin;disserin;camas_dnor;camas_disp;dotemerg;dotcinteadult;dotcintepediatri;dotcinteneonat;dotcintrm;dotcrecup;dototrapo;dia_estad;dias_cdis;totegres;falmen48;falmas48
23;2301;230103;1;1;5;18;2;0;0;0;0;4;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;490;2190;490;0;0
17;1701;170117;1;1;5;18;2;1;1;6;6;6;6;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;0;0;0;0;0;0;0;768;6935;561;1;0
17;1701;170127;1;2;1;18;2;10;13;0;0;0;0;7;9;13;13;0;0;0;0;0;0;0;0;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;46;50;0;4;0;0;0;0;0;6285;18103;2119;8;16
12;1201;120102;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;2;0;0;0;0;0;0;306;2920;197;1;0
09;0906;090603;1;12;3;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;9;9;0;0;0;0;0;0;0;284;3285;270;0;0
24;2402;240250;1;32;1;18;2;0;0;1;1;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;1;300;2190;185;1;1
01;0101;010107;1;6;2;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;46;0;0;74;74;5;0;0;0;0;0;2;26706;27010;384;1;1
22;2201;220150;1;12;3;18;2;5;5;2;2;4;4;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;699;5475;319;1;0
21;2101;210150;1;12;3;18;2;0;0;2;2;2;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;9;8;5;0;0;0;0;1;1;976;3285;627;0;0
01;0101;010111;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;1;0;0;0;0;0;0;673;4745;445;0;2
13;1308;130802;1;12;3;18;2;1;1;2;2;5;5;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;1411;4745;1145;0;4
17;1701;170112;1;17;2;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;51;51;51;0;0;0;0;0;0;0;9718;18615;35;3;27
11;1101;110102;1;1;5;18;2;0;0;0;0;5;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;18;18;2;0;0;0;0;1;1;1372;6570;721;3;0
09;0901;090112;1;1;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;26;26;26;6;3;0;0;0;4;0;1463;9500;359;3;9
09;0901;090102;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;7;12;7;0;0;0;0;0;0;1;205;2552;177;0;0
17;1701;170101;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;0;0;0;0;0;0;0;1244;4745;489;1;5
13;1301;130106;1;1;5;18;2;1;0;7;1;1;0;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;2;0;0;0;0;0;0;0;9;589;9;0;0
09;0920;092056;2;1;5;18;2;9;9;3;3;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;3;0;0;2546;5840;1390;0;0
09;0901;090102;1;1;5;18;2;8;8;4;4;4;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;0;0;0;0;0;0;1;1842;6570;1614;1;0
09;0908;090850;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;0;0;0;0;0;0;0;43;4745;42;0;0
23;2301;230105;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;8;8;0;0;0;0;0;0;0;134;2918;89;1;0
08;0801;080102;1;12;3;18;2;2;2;2;2;3;3;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;4;0;0;0;1;0;2;288;4015;243;0;0
06;0601;060102;1;12;3;18;2;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;8;8;1;0;0;0;0;0;0;353;2920;190;0;1
05;0505;050550;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;0;0;0;0;0;0;0;1206;2920;329;0;0
17;1701;170106;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;3;2;0;0;1;2;0;2970;4380;1182;1;0
17;1701;170156;2;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;3;3;1;2;4;1;0;1940;3650;504;6;31
